id,date,period,source,developer_id,journey_stage,content,category,priority,status
voc_001,2025-10-12,2025-Q4,论坛,dev_001,了解学习,个人账号里不显示企业法人CLA签署情况，导致贡献值计算不准确,流程问题,中,进行中
voc_002,2025-10-18,2025-Q4,访谈,dev_002,了解学习,希望社区提供更多实践类文档，现在介绍类内容偏多,文档问题,中,进行中
voc_003,2025-10-25,2025-Q4,论坛,dev_003,需求分析,在社区无法准确了解openUBMC具备的功能，制定方案时评估困难，需要花时间研读源码,信息不透明,高,进行中
voc_004,2025-11-03,2025-Q4,访谈,dev_004,需求分析,希望社区能提前同步每季度规划特性，方便提前规划人力,信息不透明,中,待处理
voc_005,2025-11-10,2025-Q4,VoC问卷,dev_005,需求分析,组件接口说明文档不清晰，部分字段含义需要靠猜,文档问题,高,进行中
voc_006,2025-10-08,2025-Q4,论坛,dev_006,安装部署,针对开发板没有相关的安装部署指导,文档问题,高,待处理
voc_007,2025-10-15,2025-Q4,访谈,dev_007,安装部署,社区版本安装部署缺少版本匹配要求和前置依赖说明,文档问题,高,进行中
voc_008,2025-11-20,2025-Q4,论坛,dev_008,安装部署,高可用组件manifest复杂，构建文档无法支撑一次性跑通,工具问题,高,进行中
voc_009,2025-11-05,2025-Q4,访谈,dev_009,硬件适配,没有硬件环境无法开展有效开发，要等联调时才能发现配置问题,环境问题,高,待处理
voc_010,2025-11-12,2025-Q4,论坛,dev_010,硬件适配,调试工具支持不足，busybox只开放了telnet，i2c功能较简易,工具问题,中,进行中
voc_011,2025-10-22,2025-Q4,访谈,dev_011,组件开发,闭源组件缺少接口说明和问题定位指导,文档问题,高,进行中
voc_012,2025-11-08,2025-Q4,VoC问卷,dev_012,组件开发,部分组件接口文档说明不清晰，缺少代码级详细指导,文档问题,中,进行中
voc_013,2025-10-30,2025-Q4,访谈,dev_013,接口定制,接口说明文档主要是介绍性质，缺少代码级的详细指导,文档问题,高,待处理
voc_014,2025-11-15,2025-Q4,论坛,dev_014,接口定制,资源组件接口文档页面信息不易读且加载较慢,平台体验,中,待处理
voc_015,2025-10-20,2025-Q4,访谈,dev_015,测试,社区配套的自动化用例太少，没法在自己机器上跑一遍,工具问题,高,待处理
voc_016,2025-11-18,2025-Q4,VoC问卷,dev_016,测试,版本说明太不详细，无法支撑测试用例设计,文档问题,高,进行中
voc_017,2025-11-01,2025-Q4,访谈,dev_017,维护,生产环境出问题时日志粒度太粗，无法凭日志直接定位根因,工具问题,高,待处理
voc_018,2025-11-22,2025-Q4,论坛,dev_018,维护,闭源组件复杂问题高度依赖华为支持解决，响应慢,支持问题,高,待处理
voc_019,2025-10-28,2025-Q4,论坛,dev_019,反馈交流,提PR合入较慢，不确定该找谁合入,流程问题,中,进行中
voc_020,2025-11-25,2025-Q4,访谈,dev_020,反馈交流,论坛常见问题碎片化，应该提炼后放入文档中心,平台体验,中,待处理
